Irish base variable,Irish base value,French base variable,French base value,irish_transformation,transformation_input_irish,french_transformation,transformation_input_france,datatype types,datatype allowed values,Corresponding OntologyIDs,Corresponding OntologyIDs Name,Schema group node,Comments
GI symptoms,“diarrhea”,colonoscopy_reason,"[“6”, “Trouble du transit digestif à type de diarrhée”]",map_base_value_to_ontology,"{""cui"": ""C0011991"", ""value"": True, ""default"": False}",map_base_value_to_ontology,"{""cui"": ""C0011991"", ""value"": True, ""default"": False}",bool,"[True, False]",C0011991,Diarrhea,symptoms,dataset difference: only indirectly mapped between the two super cohorts
GI symptoms,constipation,colonoscopy_reason,"[“7”, “Trouble du transit digestif à type de constipation”]",map_base_value_to_ontology,"{""cui"": ""C0009806"", ""value"": True, ""default"": False}",map_base_value_to_ontology,"{""cui"": ""C0009806"", ""value"": True, ""default"": False}",bool,"[True, False]",C0009806,Constipation,symptoms,dataset difference: only indirectly mapped between the two super cohorts
GI symptoms,PR bleeding,colonoscopy_reason,"[“9”, “Présence de sang dans les selles”]",map_base_value_to_ontology,"{""cui"": ""C0267596"", ""value"": True, ""default"": False}",map_base_value_to_ontology,"{""cui"": ""C0267596"", ""value"": True, ""default"": False}",bool,"[True, False]",C0267596,Rectal hemorrhage,symptoms,dataset difference: only indirectly mapped between the two super cohorts
GI symptoms,diarrhoea and pr bleeding,,,map_base_value_to_ontology,"[{""cui"": ""C0011991"", ""value"": True,""default"": false}, TODO (PR Bleeding dict}]",,,bool,,"[C0011991,C0267596]",,symptoms,dataset difference: not mapped
GI symptoms,constipation and bleeding,,,map_base_value_to_ontology,,,,,,"[C0009806,C0267596]",,symptoms,dataset difference: not mapped
Laxative use,,laxative_use,,map,"{“Yes”: True, “No”: False}",map,"{“Oui”: True, “Non”: False}",bool,"[True, False]",C0282090,Laxatives,lifestyle,dataset difference: mapped with loss of information
Smoker,,is_smoker,,map,"{""Current"": True, ""ex < 1 year"": False, ""ex > 1 year"": False, ""Never"": False}",map,"{""Jamais"": False, ""Ancien fumeur"": False, ""Fumeur actif"": True}",bool,"[True, False]",C0337664,Smoker,lifestyle,dataset difference: mapped with loss of information
Personal History of Lynch/Polyposis syndrome,"""Lynch""",is_lynch,,map_base_value_to_ontology,"{""cui"": ""C4552100"", ""value"": True, ""default"": False}",map," {""Oui"": True. ""Non"": False, ""Je ne sais pas"": None}",bool,"[True, False]",C4552100,Lynch syndrome,disease,
Previous colonoscopy,,previous_colonoscopy_nb,,map,"{“Yes”: True, “No”: False}",map,"{""1"": True, ""2"": True, ""1-5"": True, "">5"": True, ""Je ne sais pas"": False}",bool,"[True, False]",C3266736,History of colonoscopy,History,dataset difference: mapped with loss of information
Personal History of Lynch/Polyposis syndrome,"""FAP""",is_fap,,map_base_value_to_ontology,"{""cui"": ""C2713442"", ""value"": True, ""default"": False}",map," {""Oui"": True. ""Non"": False, ""Je ne sais pas"": None}",bool,"[True, False]",C2713442,Familial adenomatous polyposis 1,History,
